,Purchaser Name
222,CASTLE LIQUORS PRIVATE LIMITED 
223,CAVALIER TRANSPORTERS PRIVATE LIMITED 
224,CEAT LTD 
225,CENTURY TEXTILES AND INDUSTRIES LTD 
226,CH UDAYA SANKAR 
227,CHAITANYA ESTATES PRIVATE LIMITED 
228,CHAKRADHARI TRADELINK PRIVATE LIMIT 
229,CHANDA INVESTMENT TRADING CO. PVT 
230,CHANDAKA SANYASI RAO 
231,CHANDAN AGARWAL 
232,CHANDER COMMERCIALS PVT LTD 
233,CHANDRAJYOTI ESTATE DEVELOPERS PVT. 
234,CHARISMA COMBINES PVTLTD 
235,CHAYA REAL ESTATE PVT LIMITED 
236,CHENNAI GREEN WOODS PRIVATE LIMITED 
237,CHENNAMANAGATHIHALLI SOLAR POWER PROJECT 
238,CHHATTISGARH DISTILLERIES LIMITED 
239,CHIKKAHALLI SOLAR POWER PROJECT LLP 
240,CHIRON BEHRING VACCINES PVT LTD 
241,CHITRAKUT HOLDINGS LTD 
242,CHOUDHARY GARMENTS 
243,CHOWGLE AND COMPANY PVT LTD 
244,CHOWGULE AND COMPANY PVT LTD 
245,CIPLA LIMITED 
246,CIPLA LTD 
247,CLIX SECURITIES PRIVATE LIMITED 
248,COALSALE COMPANY LTD 
249,COMFORT TRIMS PRIVATE LIMITED 
250,COMFORT TRIMS PRIVATE LIMITED DIVIS 
251,CONFIDENT FINANCIAL CONSULTANCY PRI 
252,CREATIVE LLP 
253,CRESCENT POWER LTD 
254,CROCHET TRADE AND INVESTMENT PVT L 
255,CROCHET TRADE AND INVESTMENT PVT LT 
256,CRYSTAL TEA INDIA PVT LTD 
257,CURATED LIVING SOLUTIONS PRIVATE LI 
258,CV SRINIVASA 
259,CYBER HOMES 
260,CYGNUS POWER INFRA SERVICES PRIVATE 
261,CYIENT LIMITED 
262,CYZACHEM PVT LTD 
263,D R INTERNATIONAL PRIVATE LIMITED 
264,D R POLYMERS PVT LTD 
265,D S ENGINEERING WORKS LLP 
266,D S ENGINEERING WORKSHOP LLP 
267,DAAWAT FOODS LTD 
268,DAFFODIL GOODS PRIVATE LIMITED 
269,DALMIA BHARAT SUGAR AND INDUSTRIES LTD 
270,DAMINI NATH 
271,DANIKA TRADERS PRIVATE LTD 
272,DASAMI LAB PRIVATE LIMITED (FORMERLY HEL IUS LAB PVT LTD) 
273,DASAMI LAB PRIVATE LTD 
274,DCM SHRIRAM LIMITED 
275,DCM SHRIRAM LTD 
276,DEEP IRON AND STEEL PVT LTD 
277,DEEPAK GURUM 
278,DEEPAK KHEMKA 
279,DEEPAK KUMAR AGARWAL 
280,DEEPAK KUMAR GADDHYAN 
281,DEEPAK MAJJI VENKATA 
282,DEMPO IND PVT LTD NAVHIND PAPERSAND PUB 
283,DEMPO INDUSTRIES PVT LTD 
284,DERIVE INVESTMENTS 
285,DERIVE TRADING AND RESORTS PRIVATE LIMIT 
286,DERIVE TRADING AND RESORTS PRIVATE LIMITED 
287,DESAI TRADING CONSULTANTS PVT LTD 
288,DESCENT BUILDWELL LLP 
289,DEVAL KHAMUBHAI MANVAR 
290,DEVARAHIPPARIGI WIND POWER PVT LTD 
291,DEVASHRI NIRMAN LLP 
292,DEVEN CHAND JAIN 
293,DHARIWAL INFRASTRUCTURE LIMITED 
294,DHARMENDRA JAYANTILAL VORA 
295,DHARMENDRA VORA 
296,DHEERAJ MEDICALS 
297,DHRUV COTTON PROCESSING PVT LTD 
298,DILIP RAMANLAL THACKER 
299,DINESH KUMAR AGARWALLA 
300,DINESH KUMAR LAKHANPAL 
301,DINESH PROJECTS 
302,DINESHCHANDRA R AGRAWAL INFRACON PVT LTD 
303,DIPAN P SHAH 
