,Purchaser Name
1257,VIDITVA CONSTRUCTIONS 
1258,VIDUR GUPTA 
1259,VIHAAN AUTO VENTURES PRIVATE LIMITED 
1260,VIJAY KUMAR GOYAL 
1261,VIJAYKUMARMISHRACONSTRUCTIONPVT 
1262,VIKAS AGGARWAL 
1263,VIKAS KUMAR GARG 
1264,VIKAS PARASRAMPURIA 
1265,VIKAS PATNI 
1266,VIKASH GUPTA 
1267,VIKASH JHUNJHUNWALA 
1268,VIKASH NAHATA 
1269,VIKRAM KUMAR KHAITAN 
1270,VIKRAM SINGH 
1271,VILLAGE DE NANDI PVT LTD RERA DESIG 
1272,VINAY AGARWAL 
1273,VINAY KUMAR BHATT 
1274,VINAY KUMAR GANERIWAL 
1275,VINEET GUPTA 
1276,VINEET NANDA 
1277,VINEET PATNI 
1278,VINIT GUPTA 
1279,VIPIN AGGARWAL 
1280,VIPIN AGGARWAL AND SONS HUF 
1281,VIPIN GUPTA 
1282,VIPUL CHAMPAKLAL SHAH 
1283,VISHAL KOTHARI 
1284,VISHVARUPA SOLAR POWER PRIVATE LIMITED 
1285,VIVA HIGHWAYS LTD 
1286,VIVEK AGARWAL 
1287,VIVEK BANSAL 
1288,VIVEK PATNI 
1289,VM SALGAOCAR CORPORATION PVT LTD 
1290,VPL OIL MARKETING PVT LTD 
1291,VS TOWERS CONTRACTORS PRIVATE LIM 
1292,WARORA CHANDRAPUR BALLARPUR TOLLRO 
1293,WARORA CHANDRAPUR BALLARPUR TOLLROA 
1294,WELSPUN CORP LIMITED 
1295,WELSPUN CORP LTD 
1296,WELSPUN ENTERPRISES LTD 
1297,WELSPUN INDIA LIMITED 
1298,WELSPUN LIVING LIMITED 
1299,WESTERN UP POWER TRANSMISSION COMPANY LI MITED 
1300,WESTWELL GASES PRIVATE LIMITED 
1301,WOLKEM INDIA LTD 
1302,WONDER CEMENT LTD 
1303,WONDER MARMOSTONES PVT LTD 
1304,WONDER MINERALS PVT LTD. 
1305,WPIL LIMITED 
1306,YASHODA SUPER SPECIALITY HOSPITAL 
1307,YOGA BUILDERS PVT LTD 
1308,YOGESH GARODIA 
1309,YOGESH MANNALAL AGRAWAL 
1310,YOGESH MANPURIA 
1311,YUVAN TRADING CONSULTANCY LLP 
1312,ZENSAR TECHNOLOGIES LTD 
1313,ZUVAN ENERGY PRIVATE LIMITED 
1314,ZUVAN ENERGY PVT LTD 
1315,ZYDUS HEALTHCARE LIMITED 
